         55632 function calls (53686 primitive calls) in 7.142 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    7.025    3.513    7.025    3.513 {posix.waitpid}
   345/62    0.007    0.000    0.018    0.000 sre_parse.py:379(_parse)
        1    0.005    0.005    0.033    0.033 http.py:18(<module>)
      226    0.005    0.000    0.007    0.000 sre_compile.py:207(_optimize_charset)
   613/57    0.004    0.000    0.014    0.000 sre_compile.py:32(_compile)
        9    0.004    0.000    0.005    0.001 collections.py:288(namedtuple)
     3738    0.004    0.000    0.004    0.000 sre_parse.py:182(__next)
        1    0.003    0.003    0.016    0.016 utils.py:5(<module>)
        1    0.003    0.003    0.003    0.003 {posix.read}
       51    0.002    0.000    0.002    0.000 sre_compile.py:258(_mk_bitmap)
        1    0.002    0.002    0.002    0.002 socket.py:45(<module>)
        1    0.002    0.002    0.023    0.023 app.py:10(<module>)
        1    0.002    0.002    0.002    0.002 _compat.py:1(<module>)
        1    0.002    0.002    0.003    0.003 random.py:40(<module>)
  854/303    0.002    0.000    0.002    0.000 sre_parse.py:140(getwidth)
        1    0.002    0.002    0.002    0.002 datastructures.py:10(<module>)
     2600    0.002    0.000    0.003    0.000 sre_parse.py:130(__getitem__)
        1    0.001    0.001    0.012    0.012 environment.py:10(<module>)
        1    0.001    0.001    0.004    0.004 serving.py:37(<module>)
        1    0.001    0.001    0.004    0.004 urllib.py:23(<module>)
        1    0.001    0.001    0.002    0.002 __init__.py:4(<module>)
     3020    0.001    0.000    0.005    0.000 sre_parse.py:201(get)
        1    0.001    0.001    0.023    0.023 _internal.py:10(<module>)
12210/11866    0.001    0.000    0.001    0.000 {len}
        1    0.001    0.001    0.061    0.061 exceptions.py:59(<module>)
     7871    0.001    0.000    0.001    0.000 {method 'append' of 'list' objects}
        1    0.001    0.001    0.002    0.002 subprocess.py:387(<module>)
        1    0.001    0.001    0.005    0.005 itsdangerous.py:11(<module>)
       71    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x10b953588}
        1    0.001    0.001    0.013    0.013 json.py:10(<module>)
   223/60    0.001    0.000    0.018    0.000 sre_parse.py:301(_parse_sub)
        1    0.001    0.001    0.101    0.101 __init__.py:11(<module>)
        1    0.001    0.001    0.019    0.019 inspect.py:25(<module>)
     2829    0.001    0.000    0.001    0.000 {isinstance}
        1    0.001    0.001    0.037    0.037 wrappers.py:22(<module>)
        2    0.001    0.000    0.001    0.000 _compat.py:12(<module>)
        1    0.001    0.001    0.001    0.001 collections.py:1(<module>)
        1    0.001    0.001    0.013    0.013 __init__.py:28(<module>)
        1    0.001    0.001    0.005    0.005 routing.py:97(<module>)
        1    0.001    0.001    0.007    0.007 uuid.py:45(<module>)
        1    0.001    0.001    0.002    0.002 mimetools.py:1(<module>)
        1    0.001    0.001    0.003    0.003 httplib.py:67(<module>)
        1    0.001    0.001    0.001    0.001 base64.py:3(<module>)
        3    0.001    0.000    0.003    0.001 __init__.py:10(<module>)
      226    0.001    0.000    0.008    0.000 sre_compile.py:178(_compile_charset)
        1    0.001    0.001    0.001    0.001 __init__.py:24(<module>)
        1    0.001    0.001    0.005    0.005 urllib2.py:76(<module>)
        1    0.001    0.001    7.040    7.040 app.py:722(run)
     1901    0.001    0.000    0.001    0.000 sre_parse.py:195(match)
        1    0.001    0.001    0.001    0.001 __init__.py:5(<module>)
      4/2    0.001    0.000    0.061    0.031 {__import__}
      179    0.001    0.000    0.037    0.000 re.py:232(_compile)
        1    0.001    0.001    0.003    0.003 utils.py:10(<module>)
        1    0.001    0.001    0.002    0.002 utils.py:12(<module>)
        1    0.001    0.001    0.001    0.001 hashlib.py:55(<module>)
        1    0.001    0.001    0.001    0.001 io.py:34(<module>)
        1    0.001    0.001    0.001    0.001 threading.py:1(<module>)
        2    0.001    0.000    0.002    0.001 _internal.py:75(_log)
        1    0.001    0.001    0.001    0.001 {posix.fork}
        1    0.000    0.000    7.142    7.142 bank_app.py:1(<module>)
       63    0.000    0.000    0.002    0.000 nodes.py:64(__new__)
        1    0.000    0.000    0.001    0.001 console.py:10(<module>)
      646    0.000    0.000    0.001    0.000 {method 'encode' of 'str' objects}
        1    0.000    0.000    0.001    0.001 tempfile.py:18(<module>)
        1    0.000    0.000    0.005    0.005 nodes.py:14(<module>)
      662    0.000    0.000    0.000    0.000 sre_parse.py:90(__init__)
        1    0.000    0.000    0.000    0.000 wsgi.py:10(<module>)
        1    0.000    0.000    7.036    7.036 serving.py:622(run_simple)
     1291    0.000    0.000    0.001    0.000 sre_parse.py:126(__len__)
        1    0.000    0.000    0.014    0.014 tokenize.py:23(<module>)
       57    0.000    0.000    0.003    0.000 sre_compile.py:359(_compile_info)
      485    0.000    0.000    0.001    0.000 urls.py:30(<genexpr>)
        1    0.000    0.000    0.001    0.001 helpers.py:10(<module>)
      485    0.000    0.000    0.000    0.000 urlparse.py:331(<genexpr>)
      485    0.000    0.000    0.000    0.000 urllib.py:1203(<genexpr>)
        1    0.000    0.000    0.001    0.001 formparser.py:11(<module>)
      905    0.000    0.000    0.001    0.000 sre_parse.py:138(append)
        1    0.000    0.000    0.001    0.001 _parseaddr.py:7(<module>)
        1    0.000    0.000    0.002    0.002 defaults.py:10(<module>)
     2029    0.000    0.000    0.000    0.000 {chr}
        1    0.000    0.000    0.001    0.001 pickle.py:25(<module>)
        1    0.000    0.000    0.001    0.001 runtime.py:10(<module>)
      243    0.000    0.000    0.001    0.000 sre_compile.py:354(_simple)
        1    0.000    0.000    0.001    0.001 scanner.py:2(<module>)
        1    0.000    0.000    0.000    0.000 module.py:10(<module>)
     1392    0.000    0.000    0.000    0.000 {min}
        1    0.000    0.000    0.000    0.000 bccache.py:16(<module>)
        1    0.000    0.000    0.002    0.002 tbtools.py:10(<module>)
        1    0.000    0.000    0.003    0.003 __init__.py:99(<module>)
        1    0.000    0.000    0.001    0.001 filters.py:10(<module>)
        1    0.000    0.000    0.004    0.004 util.py:4(<module>)
       57    0.000    0.000    0.036    0.001 sre_compile.py:493(compile)
        1    0.000    0.000    0.001    0.001 globals.py:11(<module>)
        1    0.000    0.000    0.000    0.000 dis.py:1(<module>)
        1    0.000    0.000    0.002    0.002 decoder.py:2(<module>)
        1    0.000    0.000    0.000    0.000 local.py:10(<module>)
        1    0.000    0.000    0.000    0.000 htmlentitydefs.py:1(<module>)
    60/57    0.000    0.000    0.018    0.000 sre_parse.py:675(parse)
        1    0.000    0.000    0.063    0.063 __init__.py:16(<module>)
      312    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
        1    0.000    0.000    0.002    0.002 urlparse.py:29(<module>)
      201    0.000    0.000    0.000    0.000 sre_parse.py:257(_escape)
        1    0.000    0.000    0.003    0.003 dyld.py:6(<module>)
       21    0.000    0.000    0.000    0.000 {posix.urandom}
        1    0.000    0.000    0.000    0.000 signals.py:11(<module>)
        1    0.000    0.000    0.002    0.002 urls.py:10(<module>)
        1    0.000    0.000    0.000    0.000 heapq.py:31(<module>)
        1    0.000    0.000    0.004    0.004 subprocess.py:1186(_execute_child)
        1    0.000    0.000    0.000    0.000 loaders.py:10(<module>)
        1    0.000    0.000    0.000    0.000 bisect.py:1(<module>)
        1    0.000    0.000    0.000    0.000 compiler.py:10(<module>)
        1    0.000    0.000    0.000    0.000 sessions.py:10(<module>)
        1    0.000    0.000    0.000    0.000 code.py:3(<module>)
        1    0.000    0.000    0.000    0.000 hmac.py:4(<module>)
        1    0.000    0.000    0.000    0.000 exceptions.py:10(<module>)
        1    0.000    0.000    0.004    0.004 subprocess.py:648(__init__)
        1    0.000    0.000    0.000    0.000 wrappers.py:10(<module>)
        1    0.000    0.000    0.001    0.001 ctx.py:10(<module>)
        1    0.000    0.000    0.000    0.000 mimetypes.py:24(<module>)
        1    0.000    0.000    0.000    0.000 calendar.py:6(<module>)
      788    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.003    0.003 lexer.py:16(<module>)
      406    0.000    0.000    0.000    0.000 {getattr}
       57    0.000    0.000    0.000    0.000 {_sre.compile}
        1    0.000    0.000    7.030    7.030 subprocess.py:514(call)
       26    0.000    0.000    0.000    0.000 {posix.stat}
        1    0.000    0.000    0.000    0.000 opcode.py:5(<module>)
      387    0.000    0.000    0.000    0.000 collections.py:329(<genexpr>)
       43    0.000    0.000    0.000    0.000 sre_parse.py:216(isname)
       57    0.000    0.000    0.017    0.000 sre_compile.py:478(_code)
      115    0.000    0.000    0.000    0.000 sre_parse.py:72(opengroup)
    85/59    0.000    0.000    0.001    0.000 {method 'join' of 'str' objects}
       25    0.000    0.000    0.000    0.000 _internal.py:174(__init__)
        1    0.000    0.000    0.000    0.000 optimizer.py:18(<module>)
        1    0.000    0.000    0.000    0.000 BaseHTTPServer.py:18(<module>)
        1    0.000    0.000    0.000    0.000 bank.py:1(<module>)
        3    0.000    0.000    0.000    0.000 {dir}
        1    0.000    0.000    0.000    0.000 blueprints.py:11(<module>)
        1    0.000    0.000    0.000    0.000 hex_codec.py:8(<module>)
      124    0.000    0.000    0.000    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
      738    0.000    0.000    0.000    0.000 {ord}
       36    0.000    0.000    0.000    0.000 re.py:210(escape)
    11/10    0.000    0.000    0.000    0.000 abc.py:148(__subclasscheck__)
        1    0.000    0.000    0.000    0.000 config.py:10(<module>)
        1    0.000    0.000    0.000    0.000 security.py:10(<module>)
        1    0.000    0.000    0.000    0.000 app.py:66(Flask)
      261    0.000    0.000    0.000    0.000 sre_parse.py:134(__setitem__)
        3    0.000    0.000    0.000    0.000 __init__.py:78(CFUNCTYPE)
        1    0.000    0.000    0.000    0.000 debughelpers.py:10(<module>)
      698    0.000    0.000    0.000    0.000 sre_compile.py:24(_identityfunction)
       72    0.000    0.000    0.000    0.000 sre_parse.py:225(_class_escape)
      158    0.000    0.000    0.000    0.000 {setattr}
        1    0.000    0.000    0.000    0.000 repr.py:15(<module>)
      270    0.000    0.000    0.000    0.000 sre_parse.py:210(isident)
        1    0.000    0.000    0.000    0.000 datastructures.py:2047(ETags)
        3    0.000    0.000    0.001    0.000 dyld.py:125(dyld_find)
      114    0.000    0.000    0.000    0.000 sre_compile.py:472(isstring)
        1    0.000    0.000    0.001    0.001 encoder.py:2(<module>)
